Date,Unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
4/22/2011,KWh,52.92,50.64,53.28,52.68,55.8,52.2,51.6,51.6,51,55.92,53.88,53.04,51.48,52.8,51,53.76,55.44,52.56,51.12,51,52.92,55.8,59.16,64.44,68.64,78.84,75,75.36,81.12,75.84,77.52,83.4,84.6,91.44,88.44,82.68,86.16,85.56,88.56,88.2,87.6,85.08,79.08,78.48,79.44,80.88,83.76,80.4,81.36,79.68,81,80.76,85.2,82.2,77.4,75.48,73.2,72.6,71.88,72.72,74.88,70.44,71.04,68.64,68.64,66.36,61.56,61.68,62.16,58.92,59.88,61.2,63.6,70.56,66.96,70.92,63,61.8,60.48,60.84,60,62.28,55.2,54.48,54.96,53.52,53.76,57,55.44,52.32,52.92,52.44,53.76,56.16,56.88,52.92
4/23/2011,KWh,53.04,54,51.6,56.4,55.56,52.56,51.84,53.88,52.44,55.68,55.2,51.24,52.8,51,51.96,54.84,53.64,52.44,51.36,52.44,54.84,55.56,54.24,53.04,51.36,55.56,54.96,58.2,52.68,50.76,52.92,53.64,57.72,57.6,53.4,56.64,54.6,57.6,64.44,57.24,57.6,55.44,57,56.52,58.8,60,56.04,57,58.2,56.4,54.96,58.2,58.44,54.6,57.48,54.96,56.64,57.48,54.84,54.72,59.28,56.88,53.52,52.68,53.88,53.28,51,57.48,57.6,55.8,52.92,53.88,52.08,54.36,57.72,55.56,57,54.6,53.4,53.28,53.64,54.96,53.52,51.36,54.84,51.24,55.8,56.76,51.12,51.36,50.16,51.6,55.32,56.52,52.44,52.08
4/24/2011,KWh,51.36,52.2,54.48,53.76,51.84,50.04,52.68,51.36,54,54.36,52.08,51.36,51.96,51.6,55.68,53.88,51.6,51.72,50.52,54.48,55.56,54,52.08,53.04,53.4,53.88,54.12,54.84,50.28,46.32,49.8,51.84,52.08,47.4,48.6,48.48,50.28,54.36,55.56,53.88,51.6,51.6,50.88,53.16,56.16,52.8,51.36,54.36,53.28,52.08,55.56,54,54.72,53.64,54.72,57.6,55.92,54.48,54.12,59.64,54.12,54,53.88,52.92,52.8,53.76,55.8,59.52,58.92,60,56.76,58.2,57,54.12,58.08,57.72,57.72,57.72,55.08,56.04,53.52,56.16,59.04,53.88,57.96,56.64,57.24,52.8,55.8,56.88,58.8,56.64,57.84,59.16,53.28,55.68
4/25/2011,KWh,54.96,58.32,54.12,53.52,54,53.64,54.96,51.36,57.6,55.68,52.2,53.04,52.56,53.28,52.44,55.56,57.12,52.32,53.04,51.24,53.88,52.68,54.84,63.48,69.84,68.28,64.56,62.64,68.04,68.4,69.6,78.96,83.4,85.56,90.48,91.68,83.88,75.48,80.28,77.52,82.8,79.56,82.68,76.92,77.04,79.8,76.44,81.48,76.68,81.36,78.24,78.96,78.24,74.76,80.16,63.6,59.28,75.72,67.56,71.28,68.16,66.48,68.76,67.68,67.68,67.56,64.92,57.72,64.92,66.72,62.64,68.88,76.92,73.92,74.16,74.76,73.32,75.48,74.64,72.36,71.52,72.36,70.32,68.4,67.32,64.92,63.48,73.8,61.68,63,66.6,60.72,63.84,68.4,64.56,63.84
4/26/2011,KWh,62.16,61.08,66,61.32,58.68,59.88,56.88,58.2,57.72,56.88,53.64,55.92,54,62.28,62.4,62.64,61.56,62.28,56.4,58.68,56.28,59.28,56.76,64.44,72.48,74.64,69,67.92,69.48,68.28,69.48,72.6,77.52,83.28,80.04,79.68,83.16,78.6,80.4,80.16,82.2,83.64,83.04,82.92,83.04,85.56,85.44,85.56,86.16,88.2,86.52,84.84,84.96,83.52,81.12,79.32,77.76,78.24,76.32,75.72,74.52,74.76,75.36,75,74.88,72.96,66.72,69.12,68.64,67.92,67.92,65.16,68.04,66.6,64.68,64.56,64.92,67.68,64.08,61.44,62.16,60.72,61.08,57.72,56.28,59.4,58.44,58.32,59.16,53.76,54,52.92,53.4,56.28,56.64,54.6
4/27/2011,KWh,53.88,53.64,55.32,52.56,54.84,56.76,54.48,53.76,50.76,53.28,52.44,53.04,55.68,56.16,51.84,52.8,51.6,52.92,52.08,55.68,54.96,52.44,54.24,59.88,62.16,69.84,69.36,65.4,63.84,64.32,74.28,72.24,78.24,81.36,78.72,78.24,77.16,77.76,80.52,79.56,81.36,80.88,81.72,80.28,81.24,82.56,85.08,82.92,83.88,91.56,87.24,86.28,84.24,84.36,85.08,78.6,80.04,78.96,79.2,80.88,76.56,77.76,74.76,75,72.84,69.48,65.52,63.24,66.36,63.72,65.04,66.36,66.96,69,67.8,68.28,72.36,66.36,63.84,64.8,64.8,64.8,65.16,63.96,59.76,56.04,58.8,57.12,54.48,54.72,59.04,57.12,55.56,54.84,56.76,53.04
4/28/2011,KWh,55.2,59.64,58.8,55.44,54,54.48,53.4,54.6,56.76,55.92,54.96,52.92,54.72,54.48,58.8,57.48,54.96,54.72,53.88,55.8,53.52,58.56,56.28,60.72,65.76,68.76,69,68.52,72.24,69.48,74.64,72,78.6,83.4,83.64,79.56,79.56,80.28,80.28,79.56,80.88,85.08,80.76,79.32,79.8,80.52,81.84,81.84,82.2,85.08,80.52,80.4,80.04,77.16,77.64,76.32,78.24,77.16,75.24,71.76,72.72,69.84,71.52,69.6,71.04,70.68,63.48,62.04,62.88,67.2,63.96,65.16,71.16,70.2,66.24,66.6,65.64,65.04,64.56,65.28,60.96,59.16,59.88,57.24,58.92,59.04,56.4,58.08,56.28,57.12,60.72,59.16,57.24,58.2,57.6,60.96
4/29/2011,KWh,59.88,57.36,59.88,57,60,62.04,59.64,59.28,56.64,59.52,59.76,61.92,60.96,59.52,64.92,63.36,63.36,61.2,63.36,60.84,64.68,70.92,67.32,72.12,77.04,84.48,83.88,81.6,79.2,80.88,87,89.76,91.32,90.84,91.2,91.44,94.08,95.04,92.16,93.72,93.84,99.12,95.52,93.48,90.36,91.92,96.12,96.24,90.84,95.28,93.24,95.52,96,92.04,90.48,86.64,87.6,87.72,87.12,85.08,83.4,83.52,83.64,88.92,81.72,80.04,73.8,74.16,77.16,76.2,73.2,69.24,68.76,76.68,75.96,76.08,78.36,74.16,69.96,70.68,65.04,63.48,64.32,66.96,65.4,62.76,61.32,59.88,66.48,66.12,61.56,61.8,58.08,64.08,66.24,63
4/30/2011,KWh,59.64,60.12,64.92,63,61.56,61.68,62.04,64.2,62.64,61.2,59.28,61.44,63.84,62.64,66.6,63.6,62.88,64.8,67.92,66.24,63.84,63.48,64.44,68.76,66.36,63.84,64.2,64.08,65.4,64.92,63.72,65.04,63.6,66,63.84,65.64,66.48,67.56,69.12,67.92,65.76,66.84,66.36,67.92,58.8,58.56,56.88,61.68,65.76,62.28,60.96,55.56,57,57,59.76,56.4,56.16,55.44,54.36,55.56,59.4,58.08,54.24,54.96,54.96,57.36,57.84,56.16,54.48,54.36,55.68,57,60.24,58.8,56.16,54.84,57.24,59.04,55.32,57.84,55.08,62.52,59.04,58.56,54.12,57.48,56.4,61.44,64.32,59.76,56.16,54.24,56.04,59.04,57.12,54.84
5/1/2011,KWh,55.08,55.8,59.28,55.92,57.48,53.76,54.12,60,57.84,58.92,55.44,56.4,55.68,60.84,58.44,54.12,56.52,56.76,59.64,62.4,56.88,58.08,57.24,61.92,61.56,57.48,56.76,58.44,57,57.96,56.64,59.16,57.84,58.08,58.68,56.16,54,52.8,55.68,55.92,57,55.56,53.64,54.48,56.4,59.64,50.88,54,52.32,52.32,57,54,52.92,51.96,53.04,53.4,52.44,57.48,55.44,53.64,54.6,52.8,56.04,55.32,54.84,52.2,53.4,56.16,54.72,58.56,59.16,54.84,56.4,54.84,54.48,56.4,57,54.6,53.88,54.24,54.24,58.44,59.16,52.32,54.96,58.32,58.8,60.36,56.52,56.28,57.12,58.32,55.92,59.28,60.24,54.84
